asv	TDN_c_mean	NH4_c_mean	lat	NO2_c_mean	NO3.NO2_c_mean	lon	PO4_c_mean	TDP_c_mean	Si.OH.4_c_mean
asv1617	0.36	0.25	0.12	0.02	-0.09	0	0.07	0.11	-0.03
asv1622	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1644	0.25	0.05	0.08	-0.17	-0.21	0.23	0.27	0.38	0.3
asv1645	0.42	0.16	0.2	0.03	-0.14	0.05	0.29	0.37	0.25
asv1656	0.08	-0.12	0.04	-0.2	-0.18	0.26	0.32	0.43	0.42
asv1662	0.43	0.14	0.23	0.11	-0.1	-0.02	0.32	0.39	0.27
asv1665	0.33	0.08	0.13	-0.1	-0.19	0.17	0.31	0.41	0.31
asv1683	0.45	0.19	0.18	-0.01	-0.16	0.07	0.27	0.36	0.21
asv1724	0.47	0.31	0.19	0.12	-0.06	-0.09	0.1	0.12	-0.04
asv1753	0.64	0.31	0.35	0.28	-0.06	-0.17	0.32	0.36	0.17
asv1757	0.08	0	-0.05	-0.31	-0.22	0.32	0.15	0.24	0.21
asv1763	0.66	0.4	0.33	0.31	-0.02	-0.24	0.19	0.21	-0.01
asv1765	0.48	0.19	0.24	0.09	-0.12	0	0.31	0.38	0.24
asv1787	0.56	0.38	0.25	0.22	-0.04	-0.17	0.1	0.11	-0.08
asv1826	0.63	0.42	0.33	0.4	0.05	-0.34	0.1	0.08	-0.13
asv1847	0.6	0.37	0.33	0.37	0.03	-0.3	0.16	0.15	-0.04
asv1858	0.66	0.37	0.34	0.3	-0.04	-0.21	0.24	0.26	0.05
asv1871	0.12	-0.12	0.12	0	-0.09	0.09	0.35	0.43	0.43
asv1901	0.49	0.26	0.22	0.11	-0.09	-0.05	0.2	0.25	0.09
asv1902	0.09	-0.15	0.11	-0.05	-0.11	0.13	0.37	0.46	0.47
asv1916	0.11	-0.1	0.07	-0.11	-0.14	0.17	0.31	0.4	0.39
asv1952	0.33	0.16	0.11	-0.08	-0.16	0.12	0.19	0.26	0.15
asv1962	0.28	-0.03	0.27	0.26	0.01	-0.14	0.39	0.43	0.39
asv1971	0.26	0.03	0.11	-0.11	-0.18	0.18	0.31	0.41	0.34
asv2001	0.67	0.42	0.35	0.4	0.03	-0.32	0.15	0.14	-0.07
asv2030	0.64	0.42	0.3	0.27	-0.03	-0.21	0.14	0.15	-0.07
asv2040	0.51	0.32	0.19	0.07	-0.12	-0.02	0.15	0.2	0.02
asv2132	0.39	0.19	0.19	0.1	-0.07	-0.04	0.19	0.24	0.12
asv2150	0.56	0.38	0.25	0.23	-0.03	-0.19	0.1	0.1	-0.09
asv2153	-0.01	-0.06	-0.09	-0.36	-0.22	0.36	0.13	0.23	0.22
asv2159	0.14	-0.14	0.16	0.06	-0.07	0.04	0.4	0.48	0.48
asv2165	0.54	0.24	0.3	0.24	-0.05	-0.14	0.3	0.34	0.19
asv2173	0.48	0.15	0.27	0.12	-0.12	-0.01	0.38	0.46	0.33
asv2177	0.53	0.3	0.22	0.07	-0.13	-0.01	0.21	0.27	0.09
asv2207	0.52	0.25	0.24	0.09	-0.13	-0.01	0.28	0.35	0.18
asv2226	0.06	-0.12	0.05	-0.1	-0.12	0.16	0.27	0.35	0.36
asv2291	0.16	-0.04	0.06	-0.16	-0.18	0.22	0.29	0.39	0.36
asv2300	0.12	-0.15	0.18	0.15	-0.01	-0.04	0.37	0.43	0.44
asv2307	0.46	0.27	0.16	-0.02	-0.15	0.06	0.17	0.24	0.08
asv2321	0.33	0.06	0.17	-0.03	-0.16	0.11	0.34	0.44	0.35
asv2328	0.55	0.35	0.29	0.35	0.04	-0.29	0.11	0.09	-0.09
asv2359	0.43	0.22	0.18	0.04	-0.12	0.02	0.21	0.27	0.13
asv2373	0.64	0.43	0.32	0.37	0.03	-0.3	0.11	0.09	-0.12
